District,Year,Enrollment Type,County,District Classification,Enrollment Breakdown,Metric,Region,Col Label,Color Desc,Row Label,Status %
Julian Union High,2018,Hispanic,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,84.60%
Sweetwater Union High,2018,Black,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined Significantly,Orange,Medium,81.60%
Escondido Union High,2018,Black,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Orange,Medium,82.10%
Escondido Union High,2018,Filipino,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Orange,Medium,84.10%
Escondido Union High,2018,Hispanic,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Orange,Medium,82.30%
Escondido Union High,2018,White,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Orange,Medium,89.60%
Sweetwater Union High,2018,Hispanic,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Yellow,Medium,84.40%
Sweetwater Union High,2018,Two or More,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Yellow,Medium,89.60%
Grossmont Union High,2018,Asian,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Green,Medium,82.90%
Grossmont Union High,2018,Two or More,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Green,Medium,86.50%
Sweetwater Union High,2018,White,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Green,Medium,88.20%
Grossmont Union High,2018,White,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Green,Medium,84.80%
Grossmont Union High,2018,Amer Indian,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,84.60%
Fallbrook Union High,2018,Hispanic,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased Significantly,Green,Medium,81.40%
San Dieguito Union High,2018,Econ Disadv,San Diego,High School District,Economic Status,currstatus,San Diego/Imperial,Increased Significantly,Blue,High,91.10%
Sweetwater Union High,2018,Asian,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Yellow,High,91.60%
Sweetwater Union High,2018,Filipino,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Yellow,High,92.20%
Julian Union High,2018,White,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,90.90%
Escondido Union High,2018,Asian,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Green,High,92.90%
Grossmont Union High,2018,Filipino,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Green,High,92.80%
Fallbrook Union High,2018,White,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Green,High,92.90%
San Dieguito Union High,2018,Hispanic,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased Significantly,Blue,High,90.40%
San Dieguito Union High,2018,All Students,San Diego,High School District,All Students,currstatus,San Diego/Imperial,Increased,Blue,Very High,96.80%
Escondido Union High,2018,Two or More,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,100.00%
San Dieguito Union High,2018,Two or More,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,100.00%
San Dieguito Union High,2018,Asian,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Blue,Very High,98.80%
San Dieguito Union High,2018,Black,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,100.00%
Fallbrook Union High,2018,Black,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,100.00%
San Dieguito Union High,2018,Filipino,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,100.00%
San Dieguito Union High,2018,White,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Blue,Very High,97.40%
Fallbrook Union High,2019,SwD,San Diego,High School District,Disability Status,currstatus,San Diego/Imperial,Declined,Red,Very Low,64.80%
Grossmont Union High,2019,SwD,San Diego,High School District,Disability Status,currstatus,San Diego/Imperial,Maintained,Red,Very Low,63.80%
Sweetwater Union High,2019,Amer Indian,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,61.50%
Sweetwater Union High,2019,SwD,San Diego,High School District,Disability Status,currstatus,San Diego/Imperial,Maintained,Orange,Low,69.70%
Escondido Union High,2019,SwD,San Diego,High School District,Disability Status,currstatus,San Diego/Imperial,Increased Significantly,Yellow,Low,71.70%
Grossmont Union High,2019,Black,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Orange,Low,75.60%
Grossmont Union High,2019,Amer Indian,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,76.00%
Grossmont Union High,2019,Pacific Isle,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,70.80%
Julian Union High,2019,All Students,San Diego,High School District,All Students,currstatus,San Diego/Imperial,No Color,No Color,No Color,86.20%
Fallbrook Union High,2019,All Students,San Diego,High School District,All Students,currstatus,San Diego/Imperial,Maintained,Yellow,Medium,85.10%
Sweetwater Union High,2019,All Students,San Diego,High School District,All Students,currstatus,San Diego/Imperial,Maintained,Yellow,Medium,86.50%
Escondido Union High,2019,All Students,San Diego,High School District,All Students,currstatus,San Diego/Imperial,Maintained,Yellow,Medium,84.50%
Grossmont Union High,2019,All Students,San Diego,High School District,All Students,currstatus,San Diego/Imperial,Maintained,Yellow,Medium,83.40%
San Dieguito Union High,2019,SwD,San Diego,High School District,Disability Status,currstatus,San Diego/Imperial,Declined Significantly,Orange,Medium,80.10%
San Dieguito Union High,2019,Econ Disadv,San Diego,High School District,Economic Status,currstatus,San Diego/Imperial,Declined,Orange,Medium,87.40%
Escondido Union High,2019,Econ Disadv,San Diego,High School District,Economic Status,currstatus,San Diego/Imperial,Declined,Orange,Medium,81.80%
Julian Union High,2019,Econ Disadv,San Diego,High School District,Economic Status,currstatus,San Diego/Imperial,No Color,No Color,No Color,84.00%
Fallbrook Union High,2019,Econ Disadv,San Diego,High School District,Economic Status,currstatus,San Diego/Imperial,Maintained,Yellow,Medium,82.70%
Sweetwater Union High,2019,Econ Disadv,San Diego,High School District,Economic Status,currstatus,San Diego/Imperial,Maintained,Yellow,Medium,84.30%
Grossmont Union High,2019,Econ Disadv,San Diego,High School District,Economic Status,currstatus,San Diego/Imperial,Maintained,Yellow,Medium,80.20%
Grossmont Union High,2019,Filipino,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Orange,Medium,88.70%
San Dieguito Union High,2019,Hispanic,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Orange,Medium,89.30%
Fallbrook Union High,2019,White,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Orange,Medium,87.10%
Sweetwater Union High,2019,White,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Orange,Medium,84.10%
Sweetwater Union High,2019,Hispanic,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Yellow,Medium,85.20%
Escondido Union High,2019,Hispanic,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Yellow,Medium,82.50%
Grossmont Union High,2019,Hispanic,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Yellow,Medium,80.70%
Grossmont Union High,2019,Two or More,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Yellow,Medium,87.80%
Escondido Union High,2019,White,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Yellow,Medium,90.40%
Grossmont Union High,2019,White,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Yellow,Medium,86.30%
Grossmont Union High,2019,Asian,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Green,Medium,85.00%
Sweetwater Union High,2019,Black,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Green,Medium,85.60%
Escondido Union High,2019,Black,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Green,Medium,86.70%
Fallbrook Union High,2019,Hispanic,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Green,Medium,84.70%
San Dieguito Union High,2019,Two or More,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,92.90%
Escondido Union High,2019,Asian,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Green,High,92.70%
Julian Union High,2019,White,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,91.70%
Escondido Union High,2019,Filipino,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Green,High,93.00%
Sweetwater Union High,2019,Two or More,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Green,High,92.50%
San Dieguito Union High,2019,All Students,San Diego,High School District,All Students,currstatus,San Diego/Imperial,Declined,Blue,Very High,95.20%
San Dieguito Union High,2019,Black,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,95.50%
San Dieguito Union High,2019,Filipino,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,96.60%
San Dieguito Union High,2019,White,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Blue,Very High,95.90%
San Dieguito Union High,2019,Asian,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Blue,Very High,98.40%
Sweetwater Union High,2019,Pacific Isle,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,100.00%
Sweetwater Union High,2019,Asian,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Blue,Very High,97.00%
Sweetwater Union High,2019,Filipino,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Blue,Very High,95.30%
SBC - High Tech High,2012,SwD,San Diego,Statewide Benefit Charter,Disability Status,prioryear3_status,San Diego/Imperial,Declined,Yellow,High,94.40%
SBC - High Tech High,2013,SwD,San Diego,Statewide Benefit Charter,Disability Status,prioryear2_status,San Diego/Imperial,Declined,Yellow,High,89.70%
SBC - High Tech High,2014,SwD,San Diego,Statewide Benefit Charter,Disability Status,prioryear1_status,San Diego/Imperial,Declined,Yellow,High,94.70%
SBC - High Tech High,2015,SwD,San Diego,Statewide Benefit Charter,Disability Status,currstatus,San Diego/Imperial,Declined,Yellow,High,91.70%
SBC - High Tech High,2012,White,San Diego,Statewide Benefit Charter,Race/Ethnicity,prioryear3_status,San Diego/Imperial,Maintained,Green,High,94.60%
SBC - High Tech High,2013,White,San Diego,Statewide Benefit Charter,Race/Ethnicity,prioryear2_status,San Diego/Imperial,Maintained,Green,High,92.30%
SBC - High Tech High,2014,White,San Diego,Statewide Benefit Charter,Race/Ethnicity,prioryear1_status,San Diego/Imperial,Maintained,Green,High,94.90%
SBC - High Tech High,2015,White,San Diego,Statewide Benefit Charter,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Green,High,94.70%
SBC - High Tech High,2012,Black,San Diego,Statewide Benefit Charter,Race/Ethnicity,prioryear3_status,San Diego/Imperial,No Color,No Color,No Color,84.60%
SBC - High Tech High,2013,Black,San Diego,Statewide Benefit Charter,Race/Ethnicity,prioryear2_status,San Diego/Imperial,No Color,No Color,No Color,87.50%
SBC - High Tech High,2014,Black,San Diego,Statewide Benefit Charter,Race/Ethnicity,prioryear1_status,San Diego/Imperial,No Color,No Color,No Color,92.90%
SBC - High Tech High,2015,Black,San Diego,Statewide Benefit Charter,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,93.30%
SBC - High Tech High,2012,All Students,San Diego,Statewide Benefit Charter,All Students,prioryear3_status,San Diego/Imperial,Increased,Blue,Very High,92.00%
SBC - High Tech High,2013,All Students,San Diego,Statewide Benefit Charter,All Students,prioryear2_status,San Diego/Imperial,Increased,Blue,Very High,94.10%
SBC - High Tech High,2014,All Students,San Diego,Statewide Benefit Charter,All Students,prioryear1_status,San Diego/Imperial,Increased,Blue,Very High,95.00%
SBC - High Tech High,2015,All Students,San Diego,Statewide Benefit Charter,All Students,currstatus,San Diego/Imperial,Increased,Blue,Very High,96.00%
SBC - High Tech High,2012,Econ Disadv,San Diego,Statewide Benefit Charter,Economic Status,prioryear3_status,San Diego/Imperial,Increased,Blue,Very High,91.40%
SBC - High Tech High,2013,Econ Disadv,San Diego,Statewide Benefit Charter,Economic Status,prioryear2_status,San Diego/Imperial,Increased,Blue,Very High,92.70%
SBC - High Tech High,2014,Econ Disadv,San Diego,Statewide Benefit Charter,Economic Status,prioryear1_status,San Diego/Imperial,Increased,Blue,Very High,92.90%
SBC - High Tech High,2015,Econ Disadv,San Diego,Statewide Benefit Charter,Economic Status,currstatus,San Diego/Imperial,Increased,Blue,Very High,95.60%
SBC - High Tech High,2012,Asian,San Diego,Statewide Benefit Charter,Race/Ethnicity,prioryear3_status,San Diego/Imperial,No Color,No Color,No Color,100.00%
SBC - High Tech High,2015,Asian,San Diego,Statewide Benefit Charter,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,95.70%
SBC - High Tech High,2012,Hispanic,San Diego,Statewide Benefit Charter,Race/Ethnicity,prioryear3_status,San Diego/Imperial,Increased,Blue,Very High,88.80%
SBC - High Tech High,2013,Hispanic,San Diego,Statewide Benefit Charter,Race/Ethnicity,prioryear2_status,San Diego/Imperial,Increased,Blue,Very High,96.00%
SBC - High Tech High,2014,Hispanic,San Diego,Statewide Benefit Charter,Race/Ethnicity,prioryear1_status,San Diego/Imperial,Increased,Blue,Very High,95.70%
SBC - High Tech High,2015,Hispanic,San Diego,Statewide Benefit Charter,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Blue,Very High,97.10%
SBC - High Tech High,2012,Filipino,San Diego,Statewide Benefit Charter,Race/Ethnicity,prioryear3_status,San Diego/Imperial,No Color,No Color,No Color,100.00%
SBC - High Tech High,2013,Filipino,San Diego,Statewide Benefit Charter,Race/Ethnicity,prioryear2_status,San Diego/Imperial,No Color,No Color,No Color,92.00%
SBC - High Tech High,2014,Filipino,San Diego,Statewide Benefit Charter,Race/Ethnicity,prioryear1_status,San Diego/Imperial,No Color,No Color,No Color,94.40%
SBC - High Tech High,2015,Filipino,San Diego,Statewide Benefit Charter,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,100.00%
SBC - High Tech High,2016,SwD,San Diego,Statewide Benefit Charter,Disability Status,currstatus,San Diego/Imperial,Declined Significantly,Red,Low,82.00%
SBC - High Tech High,2016,All Students,San Diego,Statewide Benefit Charter,All Students,currstatus,San Diego/Imperial,Maintained,Green,High,94.70%
SBC - High Tech High,2016,Econ Disadv,San Diego,Statewide Benefit Charter,Economic Status,currstatus,San Diego/Imperial,Maintained,Green,High,93.20%
SBC - High Tech High,2016,Hispanic,San Diego,Statewide Benefit Charter,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Yellow,High,92.90%
SBC - High Tech High,2016,Filipino,San Diego,Statewide Benefit Charter,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,100.00%
SBC - High Tech High,2016,White,San Diego,Statewide Benefit Charter,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Blue,Very High,95.70%
SBC - High Tech High,2018,SwD,San Diego,Statewide Benefit Charter,Disability Status,currstatus,San Diego/Imperial,Declined,Orange,Medium,86.70%
SBC - High Tech High,2018,All Students,San Diego,Statewide Benefit Charter,All Students,currstatus,San Diego/Imperial,Maintained,Blue,Very High,96.70%
SBC - High Tech High,2018,Econ Disadv,San Diego,Statewide Benefit Charter,Economic Status,currstatus,San Diego/Imperial,Maintained,Blue,Very High,95.40%
SBC - High Tech High,2018,Filipino,San Diego,Statewide Benefit Charter,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,100.00%
SBC - High Tech High,2018,Hispanic,San Diego,Statewide Benefit Charter,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Blue,Very High,96.10%
SBC - High Tech High,2018,White,San Diego,Statewide Benefit Charter,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Blue,Very High,95.70%
SBC - High Tech High,2019,SwD,San Diego,Statewide Benefit Charter,Disability Status,currstatus,San Diego/Imperial,Maintained,Yellow,Medium,87.80%
SBC - High Tech High,2019,All Students,San Diego,Statewide Benefit Charter,All Students,currstatus,San Diego/Imperial,Maintained,Blue,Very High,96.30%
SBC - High Tech High,2019,Econ Disadv,San Diego,Statewide Benefit Charter,Economic Status,currstatus,San Diego/Imperial,Increased,Blue,Very High,97.00%
SBC - High Tech High,2019,Two or More,San Diego,Statewide Benefit Charter,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,100.00%
SBC - High Tech High,2019,Hispanic,San Diego,Statewide Benefit Charter,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Blue,Very High,95.00%
SBC - High Tech High,2019,Filipino,San Diego,Statewide Benefit Charter,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,100.00%
SBC - High Tech High,2019,White,San Diego,Statewide Benefit Charter,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Blue,Very High,98.50%
Carlsbad Unified,2012,Filipino,San Diego,Unified School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,No Color,No Color,No Color,100.00%
Ramona City Unified,2012,Two or More,San Diego,Unified School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,No Color,No Color,No Color,100.00%
Ramona City Unified,2013,Two or More,San Diego,Unified School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,No Color,No Color,No Color,78.60%
Carlsbad Unified,2014,Filipino,San Diego,Unified School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,No Color,No Color,No Color,94.10%
Oceanside Unified,2014,Two or More,San Diego,Unified School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,No Color,No Color,No Color,88.90%
Ramona City Unified,2014,Two or More,San Diego,Unified School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,No Color,No Color,No Color,85.70%
Carlsbad Unified,2012,SwD,San Diego,Unified School District,Disability Status,prioryear3_status,San Diego/Imperial,Declined Significantly,Red,Very Low,60.30%
Ramona City Unified,2012,SwD,San Diego,Unified School District,Disability Status,prioryear3_status,San Diego/Imperial,Declined Significantly,Red,Very Low,67.90%
Carlsbad Unified,2013,SwD,San Diego,Unified School District,Disability Status,prioryear2_status,San Diego/Imperial,Declined Significantly,Red,Very Low,68.60%
Ramona City Unified,2013,SwD,San Diego,Unified School District,Disability Status,prioryear2_status,San Diego/Imperial,Declined Significantly,Red,Very Low,71.00%
Carlsbad Unified,2014,SwD,San Diego,Unified School District,Disability Status,prioryear1_status,San Diego/Imperial,Declined Significantly,Red,Very Low,60.60%
Ramona City Unified,2014,SwD,San Diego,Unified School District,Disability Status,prioryear1_status,San Diego/Imperial,Declined Significantly,Red,Very Low,52.60%
Carlsbad Unified,2015,SwD,San Diego,Unified School District,Disability Status,currstatus,San Diego/Imperial,Declined Significantly,Red,Very Low,48.60%
Ramona City Unified,2015,SwD,San Diego,Unified School District,Disability Status,currstatus,San Diego/Imperial,Declined Significantly,Red,Very Low,56.80%
San Diego Unified,2012,SwD,San Diego,Unified School District,Disability Status,prioryear3_status,San Diego/Imperial,Increased,Red,Very Low,54.30%
San Diego Unified,2013,SwD,San Diego,Unified School District,Disability Status,prioryear2_status,San Diego/Imperial,Increased,Red,Very Low,51.70%
San Diego Unified,2014,SwD,San Diego,Unified School District,Disability Status,prioryear1_status,San Diego/Imperial,Increased,Red,Very Low,58.40%
San Diego Unified,2015,SwD,San Diego,Unified School District,Disability Status,currstatus,San Diego/Imperial,Increased,Red,Very Low,58.10%
Valley Center-Pauma Unified,2012,SwD,San Diego,Unified School District,Disability Status,prioryear3_status,San Diego/Imperial,No Color,No Color,No Color,83.30%
Valley Center-Pauma Unified,2013,SwD,San Diego,Unified School District,Disability Status,prioryear2_status,San Diego/Imperial,No Color,No Color,No Color,85.20%
Valley Center-Pauma Unified,2014,SwD,San Diego,Unified School District,Disability Status,prioryear1_status,San Diego/Imperial,No Color,No Color,No Color,92.00%
Valley Center-Pauma Unified,2015,SwD,San Diego,Unified School District,Disability Status,currstatus,San Diego/Imperial,No Color,No Color,No Color,71.40%
San Marcos Unified,2012,SwD,San Diego,Unified School District,Disability Status,prioryear3_status,San Diego/Imperial,Declined,Orange,Low,92.40%
San Marcos Unified,2013,SwD,San Diego,Unified School District,Disability Status,prioryear2_status,San Diego/Imperial,Declined,Orange,Low,80.00%
San Marcos Unified,2014,SwD,San Diego,Unified School District,Disability Status,prioryear1_status,San Diego/Imperial,Declined,Orange,Low,87.20%
San Marcos Unified,2015,SwD,San Diego,Unified School District,Disability Status,currstatus,San Diego/Imperial,Declined,Orange,Low,83.60%
Vista Unified,2012,SwD,San Diego,Unified School District,Disability Status,prioryear3_status,San Diego/Imperial,Increased,Yellow,Low,70.50%
Vista Unified,2013,SwD,San Diego,Unified School District,Disability Status,prioryear2_status,San Diego/Imperial,Increased,Yellow,Low,67.30%
Vista Unified,2014,SwD,San Diego,Unified School District,Disability Status,prioryear1_status,San Diego/Imperial,Increased,Yellow,Low,68.80%
Vista Unified,2015,SwD,San Diego,Unified School District,Disability Status,currstatus,San Diego/Imperial,Increased,Yellow,Low,72.70%
Oceanside Unified,2012,SwD,San Diego,Unified School District,Disability Status,prioryear3_status,San Diego/Imperial,Increased Significantly,Yellow,Low,66.30%
Oceanside Unified,2013,SwD,San Diego,Unified School District,Disability Status,prioryear2_status,San Diego/Imperial,Increased Significantly,Yellow,Low,70.10%
Oceanside Unified,2014,SwD,San Diego,Unified School District,Disability Status,prioryear1_status,San Diego/Imperial,Increased Significantly,Yellow,Low,73.70%
Oceanside Unified,2015,SwD,San Diego,Unified School District,Disability Status,currstatus,San Diego/Imperial,Increased Significantly,Yellow,Low,79.30%
Mountain Empire Unified,2012,SwD,San Diego,Unified School District,Disability Status,prioryear3_status,San Diego/Imperial,No Color,No Color,No Color,42.90%
Mountain Empire Unified,2013,SwD,San Diego,Unified School District,Disability Status,prioryear2_status,San Diego/Imperial,No Color,No Color,No Color,66.70%
Mountain Empire Unified,2014,SwD,San Diego,Unified School District,Disability Status,prioryear1_status,San Diego/Imperial,No Color,No Color,No Color,73.70%
Mountain Empire Unified,2015,SwD,San Diego,Unified School District,Disability Status,currstatus,San Diego/Imperial,No Color,No Color,No Color,84.60%
Carlsbad Unified,2012,Black,San Diego,Unified School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,No Color,No Color,No Color,86.70%
Carlsbad Unified,2013,Black,San Diego,Unified School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,No Color,No Color,No Color,94.70%
Carlsbad Unified,2014,Black,San Diego,Unified School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,No Color,No Color,No Color,93.30%
Carlsbad Unified,2015,Black,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,82.40%
Mountain Empire Unified,2012,All Students,San Diego,Unified School District,All Students,prioryear3_status,San Diego/Imperial,Increased Significantly,Green,Medium,73.70%
Mountain Empire Unified,2013,All Students,San Diego,Unified School District,All Students,prioryear2_status,San Diego/Imperial,Increased Significantly,Green,Medium,81.30%
Mountain Empire Unified,2014,All Students,San Diego,Unified School District,All Students,prioryear1_status,San Diego/Imperial,Increased Significantly,Green,Medium,78.40%
Mountain Empire Unified,2015,All Students,San Diego,Unified School District,All Students,currstatus,San Diego/Imperial,Increased Significantly,Green,Medium,86.70%
Poway Unified,2012,SwD,San Diego,Unified School District,Disability Status,prioryear3_status,San Diego/Imperial,Declined,Orange,Medium,89.60%
Poway Unified,2013,SwD,San Diego,Unified School District,Disability Status,prioryear2_status,San Diego/Imperial,Declined,Orange,Medium,83.20%
Poway Unified,2014,SwD,San Diego,Unified School District,Disability Status,prioryear1_status,San Diego/Imperial,Declined,Orange,Medium,88.70%
Poway Unified,2015,SwD,San Diego,Unified School District,Disability Status,currstatus,San Diego/Imperial,Declined,Orange,Medium,86.00%
Carlsbad Unified,2012,Econ Disadv,San Diego,Unified School District,Economic Status,prioryear3_status,San Diego/Imperial,Declined,Orange,Medium,86.60%
Carlsbad Unified,2013,Econ Disadv,San Diego,Unified School District,Economic Status,prioryear2_status,San Diego/Imperial,Declined,Orange,Medium,89.60%
Carlsbad Unified,2014,Econ Disadv,San Diego,Unified School District,Economic Status,prioryear1_status,San Diego/Imperial,Declined,Orange,Medium,90.20%
Carlsbad Unified,2015,Econ Disadv,San Diego,Unified School District,Economic Status,currstatus,San Diego/Imperial,Declined,Orange,Medium,85.60%
San Diego Unified,2012,Econ Disadv,San Diego,Unified School District,Economic Status,prioryear3_status,San Diego/Imperial,Increased,Green,Medium,82.70%
Ramona City Unified,2012,Econ Disadv,San Diego,Unified School District,Economic Status,prioryear3_status,San Diego/Imperial,Increased,Green,Medium,86.70%
San Diego Unified,2013,Econ Disadv,San Diego,Unified School District,Economic Status,prioryear2_status,San Diego/Imperial,Increased,Green,Medium,83.90%
Ramona City Unified,2013,Econ Disadv,San Diego,Unified School District,Economic Status,prioryear2_status,San Diego/Imperial,Increased,Green,Medium,86.60%
San Diego Unified,2014,Econ Disadv,San Diego,Unified School District,Economic Status,prioryear1_status,San Diego/Imperial,Increased,Green,Medium,86.40%
Ramona City Unified,2014,Econ Disadv,San Diego,Unified School District,Economic Status,prioryear1_status,San Diego/Imperial,Increased,Green,Medium,77.70%
San Diego Unified,2015,Econ Disadv,San Diego,Unified School District,Economic Status,currstatus,San Diego/Imperial,Increased,Green,Medium,87.70%
Ramona City Unified,2015,Econ Disadv,San Diego,Unified School District,Economic Status,currstatus,San Diego/Imperial,Increased,Green,Medium,86.70%
Mountain Empire Unified,2012,Econ Disadv,San Diego,Unified School District,Economic Status,prioryear3_status,San Diego/Imperial,Increased Significantly,Green,Medium,71.90%
Mountain Empire Unified,2013,Econ Disadv,San Diego,Unified School District,Economic Status,prioryear2_status,San Diego/Imperial,Increased Significantly,Green,Medium,82.40%
Mountain Empire Unified,2014,Econ Disadv,San Diego,Unified School District,Economic Status,prioryear1_status,San Diego/Imperial,Increased Significantly,Green,Medium,81.00%
Mountain Empire Unified,2015,Econ Disadv,San Diego,Unified School District,Economic Status,currstatus,San Diego/Imperial,Increased Significantly,Green,Medium,88.30%
San Marcos Unified,2012,Two or More,San Diego,Unified School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,No Color,No Color,No Color,100.00%
San Marcos Unified,2013,Two or More,San Diego,Unified School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,No Color,No Color,No Color,90.90%
San Marcos Unified,2014,Two or More,San Diego,Unified School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,No Color,No Color,No Color,100.00%
San Marcos Unified,2015,Two or More,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,89.50%
Vista Unified,2012,Filipino,San Diego,Unified School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,Declined,Orange,Medium,94.70%
